Model,Epochs,Steps,Mode,Weighted,Experiment,ClientsOrder,Round,TotalClientRounds,F1,F1_std,Time(sec),Round_Communication(MB),Total_Communication(MB),00-WebDDoS(f1),00-WebDDoS(rounds),01-LDAP(f1),01-LDAP(rounds),02-Portmap(f1),02-Portmap(rounds),03-DNS(f1),03-DNS(rounds)
mlp,auto,auto,fedavg,False,0,0 1 2 3,87,262,0.93597,0.05079,000.99,0.0711,6.1881,0.89655,63,0.87500,57,0.98810,73,0.98425,69
mlp,auto,auto,fedavg,False,0,0 1 2 3,88,265,0.93597,0.05079,001.36,0.0711,6.2593,0.89655,63,0.87500,58,0.98810,74,0.98425,70
mlp,auto,auto,fedavg,False,0,0 1 2 3,89,268,0.93597,0.05079,001.12,0.0711,6.3304,0.89655,64,0.87500,59,0.98810,74,0.98425,71
mlp,auto,auto,fedavg,False,0,0 1 2 3,90,271,0.93597,0.05079,001.16,0.0711,6.4015,0.89655,65,0.87500,60,0.98810,75,0.98425,71
mlp,auto,auto,fedavg,False,0,0 1 2 3,91,274,0.93597,0.05079,001.23,0.0711,6.4726,0.89655,66,0.87500,60,0.98810,76,0.98425,72
mlp,auto,auto,fedavg,False,0,0 1 2 3,92,277,0.93597,0.05079,001.31,0.0711,6.5438,0.89655,67,0.87500,60,0.98810,77,0.98425,73
mlp,auto,auto,fedavg,False,0,0 1 2 3,93,280,0.93874,0.04759,001.11,0.0711,6.6149,0.89655,67,0.88608,61,0.98810,78,0.98425,74
mlp,auto,auto,fedavg,False,0,0 1 2 3,94,283,0.94158,0.04461,001.36,0.0711,6.6860,0.89655,67,0.89744,62,0.98810,79,0.98425,75
mlp,auto,auto,fedavg,False,0,0 1 2 3,95,286,0.94158,0.04461,001.07,0.0711,6.7571,0.89655,68,0.89744,63,0.98810,80,0.98425,75
mlp,auto,auto,fedavg,False,0,0 1 2 3,96,289,0.94258,0.04559,001.07,0.0711,6.8283,0.89655,69,0.89744,64,0.98810,81,0.98824,75
mlp,auto,auto,fedavg,False,0,0 1 2 3,97,292,0.94258,0.04559,001.38,0.0711,6.8994,0.89655,69,0.89744,65,0.98810,82,0.98824,76
mlp,auto,auto,fedavg,False,0,0 1 2 3,98,295,0.94258,0.04559,001.62,0.0711,6.9705,0.89655,70,0.89744,65,0.98810,83,0.98824,77
mlp,auto,auto,fedavg,False,0,0 1 2 3,99,298,0.94258,0.04559,000.96,0.0711,7.0416,0.89655,71,0.89744,66,0.98810,83,0.98824,78
mlp,auto,auto,fedavg,False,0,0 1 2 3,100,301,0.94258,0.04559,001.70,0.0711,7.1128,0.89655,72,0.89744,67,0.98810,84,0.98824,78
mlp,auto,auto,fedavg,False,0,0 1 2 3,101,304,0.94549,0.04290,000.99,0.0711,7.1839,0.89655,73,0.90909,68,0.98810,85,0.98824,78
mlp,auto,auto,fedavg,False,0,0 1 2 3,102,307,0.94549,0.04290,001.41,0.0711,7.2550,0.89655,74,0.90909,69,0.98810,85,0.98824,79
mlp,auto,auto,fedavg,False,0,0 1 2 3,103,310,0.94549,0.04290,001.11,0.0711,7.3262,0.89655,74,0.90909,70,0.98810,86,0.98824,80
mlp,auto,auto,fedavg,False,0,0 1 2 3,104,313,0.94549,0.04290,001.28,0.0711,7.3973,0.89655,74,0.90909,71,0.98810,87,0.98824,81
mlp,auto,auto,fedavg,False,0,0 1 2 3,105,316,0.94549,0.04290,001.30,0.0711,7.4684,0.89655,75,0.90909,71,0.98810,88,0.98824,82
mlp,auto,auto,fedavg,False,0,0 1 2 3,106,319,0.94549,0.04290,001.14,0.0711,7.5395,0.89655,75,0.90909,72,0.98810,89,0.98824,83
mlp,auto,auto,fedavg,False,0,0 1 2 3,107,322,0.94549,0.04290,001.03,0.0711,7.6107,0.89655,76,0.90909,72,0.98810,90,0.98824,84
mlp,auto,auto,fedavg,False,0,0 1 2 3,108,325,0.94549,0.04290,001.07,0.0711,7.6818,0.89655,77,0.90909,72,0.98810,91,0.98824,85
mlp,auto,auto,fedavg,False,0,0 1 2 3,109,328,0.94549,0.04290,001.31,0.0711,7.7529,0.89655,78,0.90909,72,0.98810,92,0.98824,86
mlp,auto,auto,fedavg,False,0,0 1 2 3,110,331,0.94549,0.04290,001.07,0.0711,7.8240,0.89655,79,0.90909,73,0.98810,93,0.98824,86
mlp,auto,auto,fedavg,False,0,0 1 2 3,111,334,0.94549,0.04290,001.62,0.0711,7.8952,0.89655,80,0.90909,74,0.98810,94,0.98824,86
mlp,auto,auto,fedavg,False,0,0 1 2 3,112,337,0.94549,0.04290,001.16,0.0711,7.9663,0.89655,80,0.90909,75,0.98810,95,0.98824,87
mlp,auto,auto,fedavg,False,0,0 1 2 3,113,340,0.94549,0.04290,001.34,0.0711,8.0374,0.89655,81,0.90909,75,0.98810,96,0.98824,88
mlp,auto,auto,fedavg,False,0,0 1 2 3,114,343,0.94549,0.04290,001.00,0.0711,8.1086,0.89655,82,0.90909,76,0.98810,96,0.98824,89
mlp,auto,auto,fedavg,False,0,0 1 2 3,115,346,0.94549,0.04290,001.24,0.0711,8.1797,0.89655,83,0.90909,76,0.98810,97,0.98824,90
mlp,auto,auto,fedavg,False,0,0 1 2 3,116,349,0.94549,0.04290,001.27,0.0711,8.2508,0.89655,83,0.90909,77,0.98810,98,0.98824,91
mlp,auto,auto,fedavg,False,0,0 1 2 3,117,352,0.94549,0.04290,001.06,0.0711,8.3219,0.89655,84,0.90909,77,0.98810,99,0.98824,92
mlp,auto,auto,fedavg,False,0,0 1 2 3,118,355,0.94549,0.04290,001.31,0.0711,8.3931,0.89655,85,0.90909,78,0.98810,99,0.98824,93
mlp,auto,auto,fedavg,False,0,0 1 2 3,119,358,0.94549,0.04290,001.31,0.0711,8.4642,0.89655,86,0.90909,79,0.98810,99,0.98824,94
mlp,auto,auto,fedavg,False,0,0 1 2 3,120,361,0.94549,0.04290,001.37,0.0711,8.5353,0.89655,87,0.90909,80,0.98810,100,0.98824,94
mlp,auto,auto,fedavg,False,0,0 1 2 3,121,364,0.94549,0.04290,000.94,0.0711,8.6064,0.89655,88,0.90909,80,0.98810,101,0.98824,95
mlp,auto,auto,fedavg,False,0,0 1 2 3,122,367,0.94549,0.04290,001.20,0.0711,8.6776,0.89655,89,0.90909,80,0.98810,102,0.98824,96
mlp,auto,auto,fedavg,False,0,0 1 2 3,123,370,0.94549,0.04290,001.22,0.0711,8.7487,0.89655,90,0.90909,81,0.98810,102,0.98824,97
mlp,auto,auto,fedavg,False,0,0 1 2 3,124,373,0.94549,0.04290,001.08,0.0711,8.8198,0.89655,91,0.90909,82,0.98810,102,0.98824,98
mlp,auto,auto,fedavg,False,0,0 1 2 3,125,376,0.94549,0.04290,001.43,0.0711,8.8910,0.89655,92,0.90909,82,0.98810,103,0.98824,99
mlp,auto,auto,fedavg,False,0,0 1 2 3,126,379,0.94549,0.04290,001.15,0.0711,8.9621,0.89655,92,0.90909,83,0.98810,104,0.98824,100
mlp,auto,auto,fedavg,False,0,0 1 2 3,127,382,0.94549,0.04290,001.17,0.0711,9.0332,0.89655,93,0.90909,84,0.98810,104,0.98824,101
